n_cci_sig_scsignalr	ccis_scsignalr	ps_scsignalr
COL1A1_GP6	1	stroma--macrophage	0.51403716895765
COL1A1_ITGA11	80	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.59603221095283,0.721629981406797,0.766336710645653,0.730660096097729,0.789954147931235,0.731295500426367,0.769344537143913,0.50630548868564,0.671916503050685,0.734012685365267,0.697587271953752,0.641023456083193,0.734924520275037,0.696046672035227,0.550434010107546,0.656852646306229,0.682660642930226,0.597070565359428,0.692416074735687,0.697034938373377,0.757333182856879,0.663893232738338,0.513640201399319,0.622799949453298,0.649803609728198,0.701270514833159,0.561049818742388,0.660066142091242,0.664935716913488,0.729140031299194,0.709574548831937,0.566405507064115,0.671301145874584,0.696524531565996,0.743831947545357,0.612551468251322,0.706037293985545,0.710537122547177,0.769038499944199,0.723434837761609,0.583083852488233,0.686180173410863,0.710753746521852,0.756618100196954,0.628618641146108,0.719999781352032,0.724369317893704,0.780937043579344,0.620929972141298,0.577923407847496,0.606107884481687,0.660642821639202,0.514553052960205,0.616895976536076,0.622029846870726,0.690630525330509,0.737293963341751,0.600088260849931,0.70113494098751,0.725006786161734,0.644896904573261,0.733967742643952,0.738198561709718,0.79274018186741,0.657312684567134,0.61588035099062,0.643095503355309,0.695085664074967,0.553808993934803,0.653449777328035,0.658365076153039,0.723304521448449,0.792980242041978,0.762011858089037,0.782529372152641,0.819896565969057,0.712532430515054,0.790158417519497,0.793746731699731,0.839236124859791
COL1A1_ITGA2	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.738402617989037,0.797941267857584,0.831235752972982,0.742706210950365,0.77316447688611,0.803430647309625,0.833589577818891,0.662386247342798,0.796666553985463,0.744899084478683,0.77453018679735,0.773657573244195,0.823180843574288,0.707868520521494,0.700807796441455,0.740301311181792,0.766193598235884,0.739340807128147,0.705483184663676,0.794376920539913,0.738798190867312,0.676384215460439,0.668918441730252,0.71088479278199,0.738674646852341,0.779030494011535,0.709858131308205,0.673860246296506,0.769175805126849,0.709278274185812,0.721081086511343,0.714210776706107,0.752559758224609,0.777597033464351,0.813460089149787,0.751629381477186,0.718760772069022,0.804756047265715,0.751103734616389,0.734597631067104,0.727934641398294,0.765047880422402,0.789175535640267,0.823595088023073,0.764149743383914,0.732348023208189,0.815256549703019,0.76364226185066,0.634137724699867,0.626235897153942,0.670951127263014,0.700964771952368,0.745134798932915,0.669848517646765,0.631463791241038,0.734284052957126,0.669225959435761,0.748092155206198,0.74164880184386,0.777463170505971,0.800648096226811,0.77659863409957,0.745917367230229,0.82562344582147,0.776110090768728,0.66992663621072,0.704815207685767,0.732969325011486,0.773936592679256,0.703775974076382,0.667377070133703,0.763923571417016,0.70318904407333,0.80210388546244,0.826636817395846,0.845715271486158,0.872396594905017,0.825920542208394,0.80027090091015,0.865989519163255,0.825515624511702
COL1A1_ITGA5	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.859962322222881,0.8706288631218,0.909620242432576,0.853376918274114,0.880193654173882,0.89306820313833,0.910997864057355,0.810189319223975,0.895001886141027,0.839005419250427,0.812862581741062,0.796986945146275,0.818695099863639,0.812191194585212,0.835956086076398,0.782821265429933,0.848128235815575,0.765133466039259,0.828466946308697,0.78934744134364,0.859087318544248,0.788592346865035,0.814661958625243,0.756637771093147,0.828089216827478,0.878106658774572,0.737532481121164,0.806425782957553,0.763713265315936,0.840221903355833,0.821872752317155,0.844646891312629,0.793632150694416,0.856285041226325,0.899098502129183,0.776573529363765,0.837477378251758,0.799916494878722,0.866748004097528,0.831645274700664,0.853392844272474,0.804585640480636,0.86448092101044,0.905123314930689,0.788190801950549,0.846553629039517,0.810616023958668,0.874434692823869,0.755703438653269,0.784721564706245,0.720539348072369,0.799784837331544,0.856611472087575,0.699724788066913,0.775521497570346,0.728287475983304,0.813465142055572,0.841271570491137,0.861982011331706,0.815415760104282,0.87251751959411,0.799703348772536,0.85547562330089,0.82118620816698,0.881961608020337,0.783657656709315,0.751192528453301,0.823870553166234,0.874930032610694,0.731811276696009,0.801802740835432,0.758375781162618,0.836242095803795,0.878548150963716,0.857737631117764,0.903299609699078,0.933199799932519,0.844942739185044,0.889853199138588,0.862408269246904,0.910696715947576
COL1A1_ITGB1	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.922624505987392,0.919194093123264,0.931827278666339,0.925590135109797,0.92860365367234,0.918979963366576,0.932891380352904,0.892334891895548,0.943023838055764,0.919972351368205,0.920289889242935,0.921435441599716,0.918752660218752,0.905118428189982,0.908213735214824,0.905488849363752,0.904210758173662,0.906825578548408,0.911678823061715,0.903696048769268,0.915204120629906,0.891638335067214,0.895122445513362,0.892055106726792,0.890617293925243,0.907267451192547,0.89355950282005,0.899026805728364,0.890038424776653,0.903003373928273,0.910537242779179,0.91347267215049,0.910888591492984,0.909676237968098,0.923673884699843,0.912156357829657,0.916757422841855,0.909187947021858,0.920097776619488,0.915942904612847,0.918716798434857,0.916274975674713,0.915129075575051,0.928348245941887,0.917473054019065,0.921819509841896,0.914667497508572,0.924973356538026,0.872182039215045,0.876204866086104,0.872662955242874,0.87100419303158,0.890272016665326,0.874399561315861,0.8807196393081,0.870336639888646,0.885325223740335,0.92120584855631,0.923820509499856,0.921518909622971,0.920438548499157,0.922648283724395,0.926743938180789,0.92000332225292,0.929714277299836,0.88876968413955,0.889196117875138,0.887725016653484,0.904768358276903,0.890735478399585,0.896331007902385,0.887132780915629,0.900401981494454,0.941026205818058,0.941265538526074,0.940439437911664,0.949932048683003,0.942128596153374,0.945253999997726,0.940106503390165,0.947516309680123
COL1A2_CD44	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.906581208471502,0.880324111523985,0.885932414110165,0.897562555010492,0.882122348797215,0.871318649683843,0.888644864451407,0.874318455493347,0.933450099121103,0.880636247454402,0.876463483758075,0.882764458607231,0.897506435355144,0.865447016318976,0.894297232063649,0.860827177716272,0.865101244995141,0.867805392547599,0.884244102942824,0.884181628369609,0.867093686018739,0.841587382021542,0.874813459515797,0.836303281471545,0.841191547766647,0.848317720368982,0.844288715291801,0.863190756323866,0.863118678005929,0.843473236667842,0.872503760599769,0.900015706557105,0.868089283472552,0.872173445111565,0.87811082174065,0.874756349242505,0.890439818011018,0.890380272783301,0.874076634927837,0.881830424408118,0.907543070174037,0.877693609281121,0.8815209911165,0.887080399542651,0.883940149887943,0.898606889509686,0.898551277319609,0.883303628199426,0.815830690187063,0.85351878560785,0.809881521932844,0.81538461457899,0.823425733999375,0.818876713292006,0.840279983856214,0.840198069558724,0.817956844536478,0.883458070111328,0.908853161128566,0.879370440191786,0.88315233414623,0.885542508344412,0.900029655659307,0.899974736966324,0.884913630499118,0.840984878759223,0.835684604687292,0.840587824167489,0.847736183823965,0.843694578029915,0.862657009821576,0.8625846950643,0.842876566905637,0.914261638689057,0.91114576001925,0.914028848975914,0.918204424155289,0.915847611755084,0.926815974095031,0.926774573260733,0.915369329807312
COL1A2_CD93	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.820692507172288,0.828608456395558,0.904963127542787,0.814174829706415,0.85603811997424,0.892491615149129,0.907270406958285,0.766410322782907,0.868686384534112,0.821645487659637,0.737328412983073,0.740482584685246,0.774190982744418,0.800648884196875,0.799611076443641,0.709910187192586,0.808240253680284,0.713265562608638,0.792520832873337,0.749312322039032,0.838293510095158,0.768374151634951,0.767217174495834,0.669017895731992,0.776852012813808,0.872722388102301,0.672628142860743,0.759325742580061,0.711718829209664,0.81067221896703,0.810359349885594,0.809360057353551,0.722508700496088,0.817665152039893,0.898296663801224,0.725774643082924,0.802529569913245,0.760776256042814,0.846521795257157,0.823311427783882,0.82236542428567,0.73953225959747,0.830222797065412,0.905939920853263,0.742669203424768,0.815894914708367,0.776179432191617,0.857438550789838,0.734469367605461,0.733201839452341,0.62761791702443,0.743774377201696,0.851132544963253,0.631430962943392,0.72457124556725,0.673049759636522,0.781195813366382,0.825585681282279,0.824649260920414,0.742547670777282,0.832426197200842,0.745660788294682,0.818243555698689,0.778897426356673,0.859348578740636,0.767570095234174,0.668017955383357,0.776068809263645,0.872220323428921,0.671633756171948,0.758500148148946,0.710792126719239,0.809978682377912,0.869424871636241,0.802259447589402,0.874806746152226,0.932262634168445,0.804840298044645,0.86362334999603,0.832084953042447,0.895772804332533
COL1A2_GP6	0		
COL1A2_ITGA11	77	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.563045706442451,0.693627614496883,0.741218838624007,0.703192488629143,0.766601836519955,0.714049213579923,0.74638738309514,0.650645906429094,0.706749757069943,0.668278122319141,0.609302592200833,0.707717836683593,0.677535601143837,0.529055037822686,0.637198775030235,0.663728196938918,0.576201829210064,0.673787521819621,0.678556259011368,0.7411665809653,0.63442971989065,0.591948240518115,0.619812288614199,0.673472012904139,0.528967345229425,0.630453885891499,0.635513417607787,0.702835984885702,0.690927997852676,0.544468005213799,0.651404494541883,0.677421015643153,0.726537213844964,0.591263882099176,0.687263730724317,0.691925540748456,0.752880169027897,0.709108944727787,0.565850811281388,0.670802649363816,0.696046967875235,0.74340140357964,0.612015368616946,0.705568372097579,0.710072431088697,0.768637143608942,0.59134603484212,0.547429418989197,0.576156782653341,0.632322978621528,0.587206508849881,0.592475410962754,0.663538682760961,0.712339563341083,0.569707004718231,0.674263270790244,0.699361149009773,0.615739972821291,0.708822165754956,0.713296675620386,0.771419755599214,0.633382546934043,0.590857855907393,0.618748406242069,0.672478941344391,0.527842903001081,0.629401976852697,0.634467560356362,0.701892688044286,0.776953060262873,0.744360059445464,0.765931922373267,0.805441941313377,0.692690733237581,0.773975042652542,0.777762259914947,0.826004251568825
COL1A2_ITGA2	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.711412738868247,0.775224272246848,0.811377130613611,0.715989566848858,0.748539726875455,0.789481417134954,0.815493231570543,0.63861561485266,0.780845889014641,0.71832378468198,0.750005757441662,0.749068979648068,0.802599482208505,0.689756508963686,0.682454400580681,0.723414430085016,0.750422755031749,0.722414888254613,0.687288615879169,0.779961166619761,0.721850292977346,0.647434181982654,0.639656344335378,0.683577270385011,0.712931988289785,0.755949790359903,0.682496948548708,0.644802994696316,0.745402162662074,0.681886914332685,0.702863943070674,0.695734252228224,0.735644852545268,0.761852048009535,0.799599699620114,0.734673298878539,0.700455035538696,0.790415553093554,0.734124460355609,0.720626666490524,0.713749606869797,0.752138995168906,0.777206241145662,0.813117168167369,0.751207559374777,0.718304048551519,0.804400972881862,0.750681315902141,0.604928725562822,0.596797160171246,0.643026701461853,0.674351190687002,0.720886986476758,0.641880463842355,0.602175239646792,0.709406502177092,0.641233413468075,0.723779197044025,0.71694925904572,0.755056798976046,0.779915301745212,0.754132743692091,0.721472658201941,0.806861532880342,0.753610658155906,0.646403498427331,0.682600447814472,0.712007607567842,0.755116350046675,0.681518344747472,0.643768851451087,0.744544874093596,0.68090730937376,0.786592953124482,0.81259950359924,0.832910499135446,0.861443430370102,0.811838432707728,0.784654872036396,0.854578062375797,0.811408238786037
