	n_cci_sig_cpdb	ccis_cpdb	ps_cpdb
LGALS9_CD44	49	Bcell--Tcell,Bcell--macrophage,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_2--Tcell,basal_like_2--macrophage,basal_like_2--mesenchymal,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Tcell,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Tcell,mesenchymal--macrophage,mesenchymal--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.3979400086720375,3.0,3.0,3.0,2.0969100130080562,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.7695510786217261,1.6575773191777938,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
HGF_CD44	6	Bcell--Tcell,Bcell--macrophage,Bcell--mesenchymal,macrophage--Tcell,macrophage--macrophage,macrophage--mesenchymal	3.0,3.0,3.0,3.0,3.0,3.0
FGF2_FGFR4	0		
FGF1_FGFR4	0		
TNFRSF10A_FGFR4	0		
FGF17_FGFR4	0		
FGF18_FGFR4	0		
FGF19_FGFR4	0		
FGF7_FGFR4	11	Tcell--basal_like_2,Tcell--luminal_ar,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.9208187539523751,3.0,1.408935392973501,1.8860566476931633,3.0,3.0,3.0,3.0,1.7958800173440752,1.4814860601221125,2.0457574905606752
FGF2_FGFR1	0		
FGF1_FGFR1	0		
FGF17_FGFR1	0		
FGF18_FGFR1	0		
FGF19_FGFR1	0		
FGF10_FGFR1	0		
FGF2_FGFR2	0		
FGF1_FGFR2	0		
CD44_FGFR2	18	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
FGF17_FGFR2	0		
FGF18_FGFR2	0		
FGF7_FGFR2	11	Tcell--basal_like_1,Tcell--mesenchymal,endothelial--basal_like_1,endothelial--luminal_ar,endothelial--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal	1.3098039199714864,1.6575773191777938,1.494850021680094,1.4685210829577449,1.853871964321762,3.0,3.0,3.0,3.0,3.0,3.0
FGF10_FGFR2	0		
TIMP1_FGFR2	36	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--macrophage,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TFF1_FGFR2	12	luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
FGFR1_FGFR2	9	basal_like_1--basal_like_1,basal_like_1--luminal_ar,basal_like_1--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal	3.0,1.8860566476931633,3.0,2.6989700043360187,2.6989700043360187,3.0,3.0,3.0,3.0
FGF2_FGFR3	0		
FGF1_FGFR3	0		
FGF17_FGFR3	0		
FGF18_FGFR3	0		
FGF7_FGFR3	14	Tcell--luminal_ar,Tcell--mesenchymal,endothelial--basal_like_1,endothelial--luminal_ar,endothelial--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	2.154901959985743,1.4685210829577449,1.431798275933005,2.221848749616356,1.6989700043360187,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
FGFR2_FGFR3	10	Bcell--luminal_ar,Tcell--luminal_ar,basal_like_1--basal_like_1,basal_like_1--luminal_ar,basal_like_1--mesenchymal,luminal_ar--luminal_ar,macrophage--luminal_ar,mesenchymal--basal_like_1,mesenchymal--luminal_ar,mesenchymal--mesenchymal	1.5228787452803376,1.3872161432802645,2.0,3.0,1.5086383061657274,2.6989700043360187,1.494850021680094,1.853871964321762,3.0,2.0
FGF2_FGFRL1	0		
SPP1_CCR8	0		
CCL4_CCR8	0		
SPP1_PTGER4	24	basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--endothelial,stroma--macrophage,stroma--stroma	2.3979400086720375,2.5228787452803374,1.853871964321762,2.5228787452803374,3.0,3.0,1.6197887582883939,1.6382721639824072,1.3565473235138126,1.6575773191777938,2.0457574905606752,2.0969100130080562,3.0,3.0,3.0,3.0,3.0,3.0,2.221848749616356,2.3979400086720375,1.9208187539523751,2.3010299956639813,2.6989700043360187,3.0
FGF1_TGFBR3	0		
TGFB1_TGFBR3	27	Bcell--endothelial,Bcell--stroma,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--Tcell,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--endothelial,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.3010299956639813,2.3979400086720375,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.6197887582883939,3.0,3.0,3.0,3.0
INHA_TGFBR3	8	basal_like_1--endothelial,basal_like_1--stroma,luminal_ar--endothelial,luminal_ar--stroma,mesenchymal--Tcell,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TGFB3_TGFBR3	22	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,Tcell--stroma,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--Tcell,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--endothelial,endothelial--stroma,luminal_ar--endothelial,luminal_ar--stroma,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	3.0,3.0,3.0,3.0,3.0,3.0,1.744727494896694,3.0,1.9208187539523751,3.0,3.0,2.6989700043360187,3.0,3.0,3.0,3.0,3.0,1.853871964321762,2.6989700043360187,3.0,3.0,3.0
TGFB2_TGFBR3	8	basal_like_1--endothelial,basal_like_1--stroma,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,mesenchymal--endothelial,mesenchymal--stroma	3.0,3.0,1.408935392973501,3.0,1.3767507096020994,3.0,3.0,3.0
FCER2_CR2	0		
L1CAM_L1CAM	0		
