	n_cci_sig_cpdb	ccis_cpdb	ps_cpdb
TNFRSF1A_GRN	38	Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--stroma,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	3.0,2.221848749616356,3.0,2.3979400086720375,3.0,3.0,3.0,3.0,3.0,1.6382721639824072,3.0,1.6020599913279623,3.0,3.0,3.0,3.0,3.0,2.221848749616356,1.5086383061657274,3.0,3.0,3.0,3.0,3.0,2.5228787452803374,1.3872161432802645,3.0,3.0,3.0,3.0,3.0,3.0,1.5528419686577808,3.0,3.0,3.0,3.0,3.0
NTRK1_GRN	0		
TNFRSF1B_GRN	43	Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--stroma,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--stroma,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--stroma,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	3.0,3.0,3.0,3.0,2.5228787452803374,1.9208187539523751,3.0,3.0,3.0,3.0,3.0,3.0,1.585026652029182,3.0,1.3187587626244128,3.0,3.0,3.0,3.0,2.3979400086720375,2.0457574905606752,3.0,3.0,3.0,3.0,3.0,2.3979400086720375,1.4202164033831899,3.0,1.7695510786217261,1.3872161432802645,3.0,3.0,1.537602002101044,3.0,3.0,2.3979400086720375,1.337242168318426,3.0,3.0,3.0,3.0,3.0
EGFR_BTC	0		
ERBB3_BTC	0		
EGFR_COPA	6	endothelial--basal_like_1,endothelial--luminal_ar,endothelial--mesenchymal,mesenchymal--basal_like_1,mesenchymal--luminal_ar,mesenchymal--mesenchymal	3.0,3.0,1.4814860601221125,3.0,3.0,1.8860566476931633
CD74_COPA	54	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_1,Bcell--basal_like_2,Bcell--endothelial,Bcell--luminal_ar,Bcell--macrophage,Bcell--mesenchymal,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.9586073148417749,2.0,2.6989700043360187,2.221848749616356,2.0457574905606752,3.0,2.221848749616356,2.6989700043360187,2.221848749616356,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NTRK1_COPA	0		
EGFR_HBEGF	2	endothelial--endothelial,mesenchymal--endothelial	3.0,3.0
CD44_HBEGF	3	Tcell--endothelial,macrophage--endothelial,mesenchymal--endothelial	3.0,3.0,3.0
ERBB4_HBEGF	3	basal_like_1--endothelial,luminal_ar--endothelial,mesenchymal--endothelial	3.0,3.0,3.0
HLA-DPB1_TNFSF13B	47	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_1,Bcell--basal_like_2,Bcell--endothelial,Bcell--luminal_ar,Bcell--macrophage,Bcell--mesenchymal,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.6382721639824072,1.6382721639824072,1.537602002101044,1.6020599913279623,1.6777807052660807,1.3767507096020994,2.6989700043360187,1.3979400086720375,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.853871964321762,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TNFRSF13B_TNFSF13B	0		
TFRC_TNFSF13B	19	Tcell--macrophage,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--macrophage,basal_like_2--stroma,luminal_ar--macrophage,luminal_ar--stroma,macrophage--macrophage,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--macrophage	3.0,1.4202164033831899,1.3872161432802645,1.431798275933005,3.0,3.0,3.0,1.853871964321762,3.0,2.5228787452803374,3.0,2.0457574905606752,2.154901959985743,1.6020599913279623,1.8239087409443189,2.0969100130080562,3.0,3.0,3.0
CD40_TNFSF13B	32	Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--macrophage,basal_like_1--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--macrophage,stroma--stroma	3.0,1.8860566476931633,3.0,3.0,3.0,3.0,2.6989700043360187,2.3010299956639813,3.0,2.0457574905606752,3.0,3.0,2.6989700043360187,2.0969100130080562,2.5228787452803374,1.5528419686577808,1.6777807052660807,2.0969100130080562,3.0,3.0,3.0,1.9208187539523751,1.853871964321762,1.337242168318426,1.537602002101044,1.7958800173440752,3.0,3.0,1.4202164033831899,1.3467874862246563,3.0,3.0
TNFRSF17_TNFSF13B	9	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_1,Bcell--basal_like_2,Bcell--endothelial,Bcell--luminal_ar,Bcell--macrophage,Bcell--mesenchymal,Bcell--stroma	3.0,3.0,3.0,3.0,3.0,1.537602002101044,3.0,1.3098039199714864,3.0
TNFRSF13C_TNFSF13B	9	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CD74_APP	54	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_1,Bcell--basal_like_2,Bcell--endothelial,Bcell--luminal_ar,Bcell--macrophage,Bcell--mesenchymal,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	2.221848749616356,2.0969100130080562,2.221848749616356,2.221848749616356,3.0,2.6989700043360187,2.221848749616356,3.0,2.5228787452803374,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
ICAM1_SPN	38	Bcell--Tcell,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_2--Tcell,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--stroma,luminal_ar--Tcell,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	2.3979400086720375,3.0,3.0,3.0,3.0,2.3979400086720375,3.0,3.0,3.0,2.221848749616356,3.0,1.4436974992327127,3.0,1.7212463990471711,2.6989700043360187,3.0,2.221848749616356,3.0,1.7958800173440752,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.853871964321762,3.0,2.0969100130080562,2.0,3.0,2.5228787452803374,3.0,3.0
ICAM1_ITGAL	51	Bcell--Bcell,Bcell--Tcell,Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--stroma,luminal_ar--Tcell,luminal_ar--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	1.337242168318426,3.0,1.8860566476931633,3.0,3.0,2.0457574905606752,3.0,3.0,1.744727494896694,3.0,3.0,1.4685210829577449,3.0,3.0,1.431798275933005,2.3010299956639813,3.0,1.7212463990471711,3.0,2.3979400086720375,3.0,3.0,1.5086383061657274,3.0,3.0,1.337242168318426,3.0,3.0,3.0,1.8860566476931633,3.0,3.0,3.0,3.0,3.0,2.6989700043360187,3.0,1.494850021680094,3.0,2.5228787452803374,3.0,1.3187587626244128,2.0457574905606752,3.0,3.0,3.0,3.0,2.5228787452803374,2.6989700043360187,3.0,3.0
TNFRSF1A_FASLG	5	Tcell--Tcell,basal_like_2--Tcell,endothelial--Tcell,macrophage--Tcell,stroma--Tcell	2.6989700043360187,3.0,3.0,3.0,3.0
TNFRSF10B_FASLG	6	Tcell--Tcell,basal_like_1--Tcell,basal_like_2--Tcell,endothelial--Tcell,macrophage--Tcell,stroma--Tcell	2.221848749616356,3.0,2.6989700043360187,3.0,1.6989700043360187,3.0
FAS_FASLG	6	Bcell--Tcell,Tcell--Tcell,basal_like_1--Tcell,endothelial--Tcell,macrophage--Tcell,stroma--Tcell	2.154901959985743,2.6989700043360187,1.853871964321762,2.154901959985743,3.0,3.0
NTRK1_NTF3	0		
NGFR_NTF3	0		
NTRK1_GPI	0		
NTRK1_NAMPT	0		
ADORA2A_NAMPT	6	basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma	3.0,1.7695510786217261,2.0969100130080562,3.0,2.221848749616356,2.3979400086720375
NTRK1_AIMP1	0		
CD44_SELE	12	Bcell--endothelial,Tcell--Bcell,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,endothelial--endothelial,luminal_ar--endothelial,macrophage--Bcell,macrophage--endothelial,mesenchymal--Bcell,mesenchymal--endothelial,stroma--endothelial	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CEACAM1_SELE	14	Bcell--endothelial,Tcell--Bcell,Tcell--endothelial,basal_like_1--Bcell,basal_like_1--endothelial,basal_like_2--endothelial,endothelial--endothelial,luminal_ar--Bcell,luminal_ar--endothelial,macrophage--Bcell,macrophage--endothelial,mesenchymal--Bcell,mesenchymal--endothelial,stroma--endothelial	3.0,1.7695510786217261,3.0,2.6989700043360187,3.0,3.0,3.0,2.3010299956639813,3.0,2.221848749616356,3.0,3.0,3.0,3.0
ERBB4_NRG4	0		
NRP1_VEGFA	28	Bcell--mesenchymal,Tcell--mesenchymal,basal_like_1--mesenchymal,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--mesenchymal,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--mesenchymal,macrophage--stroma,mesenchymal--mesenchymal,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar,stroma--mesenchymal,stroma--stroma	3.0,3.0,3.0,3.0,3.0,1.5528419686577808,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.3010299956639813,3.0,3.0,3.0,3.0,1.3467874862246563,2.6989700043360187,3.0,3.0,3.0,3.0,3.0
NRP2_VEGFA	19	Bcell--mesenchymal,Tcell--mesenchymal,basal_like_1--mesenchymal,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--mesenchymal,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--mesenchymal,luminal_ar--mesenchymal,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--mesenchymal,mesenchymal--mesenchymal,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar,stroma--mesenchymal	3.0,3.0,3.0,2.3979400086720375,2.154901959985743,3.0,2.6989700043360187,3.0,2.221848749616356,3.0,3.0,2.221848749616356,2.3010299956639813,3.0,3.0,3.0,3.0,1.9208187539523751,3.0
NRP1_PGF	40	Bcell--endothelial,Bcell--stroma,Tcell--basal_like_2,Tcell--endothelial,Tcell--stroma,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.6020599913279623,1.9586073148417749,1.408935392973501,1.7695510786217261,2.6989700043360187,1.3872161432802645,2.0,2.0969100130080562,3.0,2.6989700043360187,1.853871964321762,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5228787452803374,3.0,3.0,1.7958800173440752,3.0,1.9208187539523751,3.0,1.4814860601221125,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NRP2_PGF	34	Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--stroma,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	1.6197887582883939,1.6575773191777938,2.6989700043360187,2.0457574905606752,3.0,1.4685210829577449,1.5228787452803376,3.0,2.5228787452803374,3.0,2.6989700043360187,2.6989700043360187,1.8239087409443189,3.0,3.0,1.4436974992327127,2.3979400086720375,1.5686362358410126,3.0,3.0,1.6197887582883939,1.7958800173440752,3.0,3.0,1.6020599913279623,3.0,2.5228787452803374,2.154901959985743,2.5228787452803374,2.3010299956639813,3.0,3.0,3.0,3.0
FLT1_PGF	25	Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--stroma,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--stroma,macrophage--stroma,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	1.853871964321762,1.8239087409443189,3.0,2.3010299956639813,1.744727494896694,1.4436974992327127,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.8860566476931633,1.9208187539523751,3.0,2.6989700043360187,1.6989700043360187,3.0
NRP1_VEGFB	52	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Tcell,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Tcell,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.585026652029182,3.0,1.8239087409443189,2.3979400086720375,2.5228787452803374,2.0969100130080562,1.9208187539523751,3.0,2.3979400086720375,3.0,3.0,2.5228787452803374,1.9208187539523751,1.4685210829577449,1.5528419686577808,1.6020599913279623,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5228787452803376,3.0,3.0,3.0,3.0,3.0,1.3767507096020994,3.0,2.221848749616356,1.6777807052660807,1.7212463990471711,1.6989700043360187,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.154901959985743,3.0
FLT1_VEGFB	49	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	1.9586073148417749,3.0,3.0,2.3979400086720375,3.0,3.0,3.0,1.744727494896694,2.0,2.3010299956639813,2.5228787452803374,1.5228787452803376,3.0,3.0,2.154901959985743,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3098039199714864,3.0,2.154901959985743,2.0,3.0,3.0,1.3665315444204136,3.0,2.5228787452803374,2.0969100130080562,3.0,2.6989700043360187,2.6989700043360187,1.744727494896694,1.9586073148417749,3.0,2.5228787452803374,3.0,3.0,3.0,3.0,3.0,3.0
ADRB2_VEGFB	0		
NRP1_SEMA3A	0		
NRP2_SEMA3F	22	Bcell--basal_like_2,Bcell--luminal_ar,Tcell--basal_like_2,Tcell--luminal_ar,basal_like_1--basal_like_2,basal_like_1--luminal_ar,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--luminal_ar,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,luminal_ar--basal_like_2,luminal_ar--luminal_ar,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,mesenchymal--basal_like_2,mesenchymal--luminal_ar,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar	3.0,3.0,3.0,2.221848749616356,3.0,3.0,2.154901959985743,3.0,3.0,3.0,3.0,3.0,3.0,2.5228787452803374,2.3010299956639813,3.0,3.0,3.0,2.3979400086720375,3.0,3.0,3.0
NRP2_SEMA3C	26	Bcell--luminal_ar,Bcell--mesenchymal,Tcell--luminal_ar,Tcell--mesenchymal,basal_like_1--luminal_ar,basal_like_1--mesenchymal,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--Bcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--luminal_ar,luminal_ar--mesenchymal,macrophage--luminal_ar,macrophage--mesenchymal,mesenchymal--luminal_ar,mesenchymal--mesenchymal,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar,stroma--mesenchymal,stroma--stroma	3.0,2.3010299956639813,2.5228787452803374,1.8239087409443189,3.0,1.9208187539523751,3.0,3.0,1.6197887582883939,2.154901959985743,2.3010299956639813,3.0,1.4436974992327127,3.0,1.853871964321762,3.0,1.8239087409443189,3.0,3.0,2.6989700043360187,1.6197887582883939,3.0,2.3010299956639813,3.0,3.0,1.9586073148417749
CCL4L2_VSIR	48	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	3.0,3.0,3.0,2.6989700043360187,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6989700043360187,3.0,3.0,2.3979400086720375,3.0,3.0,2.0,3.0,3.0,2.3979400086720375,3.0,3.0,2.3010299956639813,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5228787452803374,3.0,3.0,2.221848749616356,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
