	0	1	10	2	3	4	5	6	7	8	9
0	2654.0	1660.0	1150.0	1585.0	1561.0	1891.0	1323.0	1373.0	1323.0	1312.0	1203.0
1	1611.0	655.0	333.0	594.0	560.0	1076.0	413.0	500.0	361.0	415.0	494.0
10	864.0	196.0	50.0	199.0	157.0	465.0	76.0	130.0	66.0	70.0	180.0
2	1482.0	517.0	207.0	459.0	415.0	962.0	279.0	368.0	271.0	270.0	394.0
3	1477.0	526.0	235.0	479.0	452.0	952.0	312.0	391.0	296.0	309.0	422.0
4	1946.0	1244.0	815.0	1220.0	1154.0	1419.0	952.0	1029.0	990.0	947.0	913.0
5	1121.0	336.0	105.0	308.0	271.0	707.0	154.0	228.0	145.0	144.0	278.0
6	1472.0	608.0	307.0	562.0	519.0	964.0	406.0	467.0	361.0	348.0	464.0
7	1276.0	471.0	269.0	442.0	410.0	852.0	296.0	354.0	278.0	299.0	394.0
8	1281.0	445.0	190.0	412.0	387.0	765.0	258.0	315.0	222.0	256.0	352.0
9	1103.0	342.0	97.0	323.0	259.0	682.0	149.0	223.0	138.0	146.0	288.0
