	0	10	1	2	3	4	5	6	7	8	9
0	230.0	131.0	188.0	193.0	191.0	65.0	142.0	168.0	136.0	181.0	133.0
10	87.0	14.0	23.0	21.0	18.0	29.0	13.0	30.0	26.0	24.0	18.0
1	190.0	50.0	93.0	87.0	81.0	50.0	57.0	92.0	59.0	77.0	64.0
2	156.0	29.0	63.0	53.0	43.0	47.0	38.0	61.0	42.0	46.0	39.0
3	142.0	30.0	61.0	52.0	44.0	47.0	34.0	52.0	48.0	41.0	39.0
4	100.0	59.0	81.0	81.0	81.0	23.0	60.0	76.0	61.0	87.0	59.0
5	99.0	16.0	28.0	25.0	25.0	36.0	19.0	30.0	29.0	24.0	18.0
6	119.0	21.0	57.0	50.0	42.0	37.0	27.0	50.0	35.0	40.0	32.0
7	126.0	48.0	66.0	59.0	62.0	36.0	49.0	66.0	51.0	63.0	43.0
8	120.0	16.0	38.0	30.0	27.0	42.0	22.0	41.0	33.0	35.0	28.0
9	113.0	31.0	56.0	51.0	35.0	39.0	31.0	55.0	39.0	43.0	38.0
