	0	10	1	2	3	4	5	6	7	8	9
0	971.0	557.0	408.0	422.0	436.0	792.0	377.0	340.0	624.0	465.0	396.0
10	531.0	150.0	82.0	90.0	96.0	366.0	95.0	101.0	189.0	111.0	101.0
1	469.0	174.0	136.0	133.0	128.0	340.0	127.0	131.0	198.0	137.0	130.0
2	433.0	138.0	106.0	115.0	90.0	333.0	105.0	113.0	175.0	104.0	110.0
3	445.0	125.0	72.0	72.0	75.0	301.0	85.0	87.0	166.0	86.0	97.0
4	830.0	446.0	322.0	343.0	329.0	631.0	305.0	304.0	487.0	363.0	308.0
5	375.0	107.0	60.0	66.0	61.0	252.0	85.0	68.0	149.0	73.0	78.0
6	466.0	210.0	147.0	162.0	147.0	353.0	148.0	145.0	239.0	161.0	164.0
7	632.0	198.0	139.0	140.0	141.0	473.0	134.0	148.0	315.0	143.0	158.0
8	509.0	136.0	70.0	79.0	84.0	332.0	88.0	89.0	182.0	90.0	91.0
9	389.0	106.0	77.0	83.0	67.0	285.0	64.0	84.0	140.0	71.0	80.0
