	n_cci_sig_NATMI	ccis_NATMI	ps_NATMI
ADAM9_ITGB5	17	Tcell--luminal_ar,Tcell--stroma,basal_like_1--luminal_ar,endothelial--luminal_ar,endothelial--stroma,luminal_ar--luminal_ar,luminal_ar--stroma,macrophage--Bcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--luminal_ar,stroma--stroma	0.01778120833377894,0.0165908323673276,0.01573732891863737,0.01628142572774343,0.015191453802210668,0.01617079155041243,0.015088226110608359,0.01563632600839032,0.01820113783966407,0.01751932093039581,0.01659312449834741,0.02242576736433087,0.01617264812244501,0.01706964418407609,0.02092445800454932,0.0174225119491978,0.016256149173944908
ADGRB1_RTN4RL1	20	basal_like_1--Bcell,basal_like_1--basal_like_1,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_2--Bcell,basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--mesenchymal,luminal_ar--Bcell,luminal_ar--basal_like_1,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal	0.021459127050283997,0.01984313174238528,0.01872458108583677,0.01569743999596621,0.02104945333825345,0.01836737570495001,0.01698420700064714,0.01602681296939398,0.01801672626018581,0.021931029825558997,0.0202794975329152,0.019136349083647808,0.01604263882355371,0.021512347072237467,0.028344417655099468,0.02620992048620573,0.01892588104861383,0.024732476091412558,0.02073405848797754,0.02780329765665317
ADM2_RAMP1	23	basal_like_1--basal_like_1,basal_like_2--Bcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,luminal_ar--basal_like_1,luminal_ar--luminal_ar,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--stroma	0.01594828025952909,0.01585959379897177,0.02019769228570229,0.01770886023853774,0.01890287464810473,0.0173287977343813,0.01558287174589872,0.01687300096962116,0.016795597399399332,0.01571887856245949,0.01725513567720477,0.015433210439135118,0.02197495882768577,0.019267125626158003,0.02056620559622329,0.018853620074996733,0.01695406386974399,0.01835771613717475,0.018571887829542992,0.01628339323557236,0.017381295974541883,0.01593392369739124,0.015514816094975391
AFDN_EPHB3	20	Bcell--basal_like_1,Bcell--basal_like_2,Bcell--macrophage,Bcell--mesenchymal,Bcell--stroma,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--stroma,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--stroma,stroma--stroma	0.01512956404196184,0.015964391691398967,0.01514939637982091,0.015263010205763268,0.01739386142501455,0.015404137086670001,0.01625411528300172,0.01542432934404654,0.01554000504659179,0.01770952719551872,0.015883410779838,0.01582539782800256,0.01712062887033345,0.01806532062199694,0.01549999621600667,0.01714307116246919,0.01727163667454231,0.01968290991424157,0.015132388663372909,0.01597847176070655
AFDN_F11R	17	Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,basal_like_1--basal_like_1,basal_like_1--luminal_ar,basal_like_1--mesenchymal,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--Bcell,endothelial--basal_like_1,endothelial--endothelial,endothelial--luminal_ar,endothelial--mesenchymal,luminal_ar--luminal_ar,luminal_ar--mesenchymal,stroma--luminal_ar,stroma--mesenchymal	0.015462975707815131,0.017677887287420792,0.01807998499755789,0.01574359954526131,0.01799870759149911,0.01840810261649845,0.01614277236347165,0.01650995265470675,0.01604218470083656,0.0174979178243497,0.016132795755001417,0.02000431384672414,0.02045932799291996,0.015379486742135332,0.01572930549035741,0.01623938560329022,0.01660876344007295
AFDN_NECTIN4	21	Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--mesenchymal,basal_like_1--basal_like_1,basal_like_1--luminal_ar,basal_like_1--mesenchymal,basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--mesenchymal,luminal_ar--luminal_ar,luminal_ar--mesenchymal,macrophage--mesenchymal,mesenchymal--mesenchymal,stroma--basal_like_1,stroma--luminal_ar,stroma--mesenchymal	0.01668244041114106,0.017413576205722592,0.02254966501280138,0.015285048480448631,0.016985195232373518,0.01772959976230372,0.02295889889175134,0.01523376824649512,0.01590141356557768,0.02059149395262965,0.01887786522721005,0.01663293518863085,0.019705219178594868,0.025517222093364083,0.01514954021568195,0.019617857522530358,0.01624408503814194,0.01828202733210723,0.0153249411672178,0.01599658229172176,0.02071473244591162
AGRN_DAG1	15	Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,basal_like_1--luminal_ar,basal_like_2--luminal_ar,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--mesenchymal,luminal_ar--luminal_ar,macrophage--luminal_ar,mesenchymal--luminal_ar,stroma--basal_like_1,stroma--luminal_ar,stroma--mesenchymal	0.015392134407813859,0.0173418737586993,0.01509659130297695,0.01687468780581307,0.01618387698962228,0.01972616344253968,0.017076155731445167,0.022224899231020882,0.019347403003222758,0.01571246130419839,0.015417673406904382,0.01585993103996035,0.01613145401469665,0.01817484382965865,0.01582171529498946
ALB_LRP2	15	luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--luminal_ar,luminal_ar--mesenchymal,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma	0.02220066766030792,0.0220759432476553,0.02173243238379438,0.02084367779524346,0.0521288067299043,0.04565526769859178,0.0547613768078172,0.054453724773972485,0.05360640215551366,0.05141415164944763,0.03342575476796285,0.1285837557481176,0.03304391755624465,0.1126157715596231,0.0228178024367069
ALCAM_L1CAM	22	Bcell--mesenchymal,Tcell--mesenchymal,basal_like_1--Bcell,basal_like_1--luminal_ar,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--mesenchymal,luminal_ar--Bcell,luminal_ar--basal_like_1,luminal_ar--luminal_ar,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--mesenchymal,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--luminal_ar,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--mesenchymal	0.02764853021499416,0.021932594475960042,0.01918188422435565,0.01940320343517222,0.036486008391674915,0.01523295861912072,0.015494604348603619,0.01567337998744278,0.02947240519630572,0.022073209221301283,0.023283195447109183,0.01814583149946025,0.02355183529402783,0.04428714377233027,0.01848994335584506,0.0258556775567105,0.02335620651674124,0.01820273290589083,0.02362568876016916,0.044426018685145036,0.018547923822697782,0.02386734900674603
ALCAM_NRP1	20	Bcell--endothelial,Tcell--endothelial,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--endothelial,luminal_ar--Bcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--endothelial,mesenchymal--Bcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--endothelial	0.02729984672133445,0.02165599627679964,0.0360258729422756,0.01744574284216175,0.018853247936258158,0.02910072029549933,0.015229140893652791,0.0217948376895158,0.015713128948754818,0.01705046061377198,0.043728625981523016,0.02117584672929609,0.02288429287647064,0.02552960423884119,0.015762401925671632,0.01710392717380488,0.04386574950323651,0.02124224960872828,0.02295605307384045,0.023566351066842708
ANGPTL2_ITGA5	21	Bcell--endothelial,Tcell--endothelial,Tcell--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.02119664708949881,0.0313128387069067,0.016685582626420618,0.02946374936571211,0.01570026368823918,0.01822806063292254,0.02189085626797535,0.048960890218473066,0.01637376359510621,0.02608964926016906,0.01604347617541911,0.01926729552130513,0.0430930580913611,0.022962874370439992,0.020488815028904997,0.0169951501161992,0.02359864327147709,0.028340618257659482,0.06338636927906953,0.02119800969909641,0.03377651294711391
ANGPTL2_ITGB1	26	Tcell--endothelial,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01556814885425559,0.0172180393931073,0.018524963496030483,0.01736747709149344,0.016859414573747032,0.02434242497439012,0.01792217594244146,0.0201600061628469,0.0166606974112955,0.02204058210651158,0.015154503287739781,0.016304796022143932,0.01528603127648463,0.02142505025593276,0.0157742509493797,0.01774388318556298,0.01939907711737146,0.02229103675123295,0.02398302342545296,0.022484503681508342,0.02182674933466076,0.03151449926032118,0.02320263495011833,0.026099803120499383,0.02156948359898815,0.02853445822359405
ANGPTL2_LILRB2	23	Bcell--macrophage,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--macrophage,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01801220105114472,0.01535109474672845,0.02660860200622446,0.016924667833273833,0.02503730778999786,0.015925230408047258,0.022978203885846732,0.01751445178741477,0.024003038231796232,0.04160532533916966,0.02646348392508619,0.02022432742683929,0.01541539144704191,0.02112633810938527,0.03661903804752206,0.02329190594768367,0.017410709063660608,0.02974833403516196,0.0226747819282636,0.01859376955155855,0.031075118086929837,0.05386361449223424,0.03426049152703798
ANG_PLXNB2	20	basal_like_1--basal_like_2,basal_like_1--luminal_ar,basal_like_1--stroma,luminal_ar--Bcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma	0.01527674801523785,0.01551801756158411,0.0154933498202799,0.01815419052756254,0.01610349183940098,0.019188045257642,0.01580682553143277,0.01949108691087639,0.01656173371278161,0.01540214059085204,0.01946010350157509,0.02368968113974275,0.018085990718709418,0.02101369302766035,0.02503877400418155,0.0206265686207637,0.02543421769671544,0.02161165986340463,0.02009848904652665,0.02539378697159688
ANOS1_FGFR1	21	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_1,Bcell--basal_like_2,Bcell--endothelial,Bcell--luminal_ar,Bcell--macrophage,Bcell--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--stroma,luminal_ar--stroma,mesenchymal--stroma,stroma--basal_like_1,stroma--basal_like_2,stroma--stroma	0.019937986032073318,0.01930580788131013,0.022148055129497867,0.02143906542729444,0.01799612818367663,0.01649210419756057,0.01777856711465418,0.02620167796908255,0.017378238010443258,0.01682722235864715,0.01930456631325106,0.01868660059835766,0.01568568652517292,0.01549605713967749,0.02283776281552315,0.0168075394704524,0.01554387954890264,0.01517415955803346,0.01595126001106755,0.0154406382422986,0.01887072140498919
ANXA1_DYSF	21	Bcell--endothelial,Bcell--macrophage,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--endothelial,endothelial--Bcell,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--endothelial,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	0.02681166892895189,0.01568145916235724,0.0188879057833219,0.033893880519460816,0.019823663518603582,0.01833320167872025,0.02298570106923,0.018057403475606082,0.030855736343708338,0.055369856932317996,0.03238441264549995,0.02994955840123497,0.01958791503614427,0.035150029837964336,0.02055835311558965,0.019012652908315792,0.01991509099892936,0.023688589494465832,0.042508588893372286,0.02486218603352374,0.02299289787171289
ANXA1_EGFR	26	Bcell--Tcell,Bcell--endothelial,Bcell--mesenchymal,Bcell--stroma,Tcell--Tcell,Tcell--endothelial,Tcell--mesenchymal,Tcell--stroma,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--mesenchymal,endothelial--stroma,macrophage--Tcell,macrophage--endothelial,macrophage--mesenchymal,macrophage--stroma,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--endothelial,stroma--mesenchymal,stroma--stroma	0.015266294724775118,0.016342227261917242,0.019283144956305433,0.0202383964101458,0.01929883480015916,0.020658971274972817,0.02437672242337393,0.02558430031523523,0.01653148137905168,0.01735042049179794,0.020177259633613432,0.031527039851093785,0.01799741261264495,0.03374899145016248,0.03982239898102154,0.041795127216391316,0.02001407359284366,0.02142461841511484,0.025280154039647233,0.02653248626835793,0.01503261536044241,0.01549050119108194,0.02420396313635564,0.025909801516636032,0.030572482589241636,0.03208698701821617
ANXA1_FPR1	23	Bcell--Tcell,Bcell--macrophage,Bcell--stroma,Tcell--Tcell,Tcell--macrophage,Tcell--stroma,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,stroma--Tcell,stroma--basal_like_2,stroma--macrophage,stroma--stroma	0.02402431883364412,0.019367164180130358,0.01578987354975465,0.03037026133161332,0.02448293504076848,0.01996071519945102,0.020596099875965567,0.016603511239185582,0.0172906957185984,0.04961358803289042,0.016054447250740168,0.02077181305109324,0.0172215556655392,0.03999591046272298,0.03260830356163449,0.03149582094561431,0.02539030302859062,0.02070048410198895,0.01784471145854993,0.03808938173333623,0.0159469521952753,0.030705690956619968,0.02503407173881926
ANXA1_FPR3	20	Bcell--macrophage,Tcell--macrophage,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--macrophage,macrophage--stroma,mesenchymal--macrophage,stroma--Bcell,stroma--Tcell,stroma--macrophage,stroma--stroma	0.02948465136729837,0.03727292222089339,0.02527725462577824,0.023931188960139342,0.02429865707932797,0.01699832234930633,0.0192837963595589,0.0177123886815472,0.01515259749033049,0.060889940578958364,0.02420005269478075,0.015192056700364769,0.01542533372273039,0.038654303022643936,0.01536273744289485,0.02190052087422996,0.01837247068345613,0.01865458358884262,0.04674647173057901,0.01857888295535668
ANXA2_ROBO4	13	Bcell--endothelial,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,endothelial--Bcell,endothelial--endothelial,endothelial--stroma,luminal_ar--endothelial,macrophage--endothelial,mesenchymal--endothelial,mesenchymal--stroma,stroma--endothelial,stroma--stroma	0.03723489697380925,0.05271236620601217,0.0335969031310589,0.05047767667925578,0.01507225252682324,0.07984411850559547,0.01918773442811646,0.02932503760326357,0.061415024875791674,0.06557410116991215,0.01575843608972324,0.06561971282432469,0.01576939725164819
ANXA2_TLR2	21	Bcell--macrophage,Tcell--macrophage,Tcell--stroma,basal_like_1--macrophage,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01819816591916431,0.02576261690433846,0.015999890266845968,0.01642013453076441,0.02467043580298247,0.01532159047152215,0.016221113058434,0.015155069407073209,0.01796426614840978,0.02139375069622045,0.0390229766784714,0.024235245474464533,0.01645578604644231,0.030015950182577387,0.018641425712287732,0.01757018549161544,0.03204865516156808,0.019903838483843004,0.0175824068597213,0.032070947379952114,0.019917683080813618
APOD_LEPR	24	Bcell--endothelial,Bcell--stroma,Tcell--stroma,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,luminal_ar--Bcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--stroma,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01520810779709023,0.02660260087964169,0.02305826715510439,0.026223560556612832,0.021455563135149458,0.01799212733277691,0.022060377528902168,0.02623416508486893,0.04588979986694521,0.01763808105758932,0.018135283821954458,0.02156645003118323,0.0377248550723762,0.017167197188774318,0.015598125932919718,0.01603782406716921,0.019072154301483492,0.03336173806542729,0.02562739504192921,0.02149052681103418,0.02634980989061492,0.031335151074348117,0.01782469444550595,0.05481263866985811
