	n_cci_sig_NATMI	ccis_NATMI	ps_NATMI
COL1A2_ITGB1	16	Bcell--endothelial,Bcell--stroma,endothelial--endothelial,endothelial--stroma,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01739033756570196,0.015745890698238042,0.01779174847196938,0.01610934380725838,0.0183597725956003,0.01520526936265286,0.01662365502927253,0.02569628372625226,0.02764674346157123,0.02591930525672138,0.02516107034340645,0.03632875058802226,0.02674714045509434,0.030086888899260388,0.02486450390683096,0.03289346936489209
COL1A2_ITGB3	10	Bcell--endothelial,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,endothelial--endothelial,luminal_ar--endothelial,macrophage--endothelial,mesenchymal--endothelial,stroma--basal_like_2,stroma--endothelial	0.1009949927386503,0.07676194305481338,0.052368549306983835,0.08689434611832453,0.1033262005953425,0.036409709346844135,0.10662502053053599,0.05189806683700344,0.01873130320532461,0.2109804877553247
COL2A1_DDR1	19	Bcell--luminal_ar,Tcell--luminal_ar,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--luminal_ar,basal_like_1--mesenchymal,basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--luminal_ar,luminal_ar--Bcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--luminal_ar,luminal_ar--mesenchymal,macrophage--luminal_ar,mesenchymal--luminal_ar,stroma--basal_like_1,stroma--luminal_ar	0.017879351559839867,0.01615652293921705,0.021090523296935983,0.01628583361797279,0.030335318968328164,0.02062412956424074,0.019189828332339558,0.027601475563840218,0.01876546637888338,0.01567701442027085,0.015591912679778209,0.024943764660211983,0.019261257548839433,0.03587758570923519,0.024392160731586933,0.0207750997885948,0.02134195581100305,0.01513538281924425,0.02176980907800573
COL2A1_ITGA2	22	Bcell--endothelial,Bcell--mesenchymal,Tcell--endothelial,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--mesenchymal,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--mesenchymal,endothelial--endothelial,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--endothelial,macrophage--mesenchymal,mesenchymal--endothelial,mesenchymal--mesenchymal,stroma--endothelial,stroma--mesenchymal	0.01721790169941683,0.01538241648321995,0.0155588094367279,0.01877915681105577,0.029213058329829438,0.02609884977989242,0.0170867640577984,0.026580353958950458,0.02374680039448876,0.01509704042258796,0.01680598674075204,0.022210111215222633,0.03455028790538229,0.016639097055861182,0.030867113046286487,0.01654572419625951,0.0200065211961638,0.01787375992686628,0.02055240627700031,0.018361451854256482,0.02096443103463042,0.01872955341122371
COL2A1_ITGB1	17	basal_like_1--Tcell,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma	0.01583537230520033,0.02080821170651552,0.015320101906202331,0.01723302738665157,0.01884056740812123,0.01893295889007279,0.015679973063750092,0.017142640282341567,0.01740721364372704,0.01872849689533972,0.01755829321108334,0.01704464862072876,0.0246098747053183,0.01811908652708931,0.02038150374287176,0.016843748156831942,0.022282741536399458
COL3A1_DDR1	21	Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--basal_like_1,Tcell--luminal_ar,basal_like_2--luminal_ar,endothelial--basal_like_1,endothelial--luminal_ar,endothelial--mesenchymal,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01831371018044155,0.02634132079112156,0.017908722616581732,0.01515417235612515,0.02179683479882472,0.020354988269246997,0.017403954844915682,0.02503278435047643,0.01701908551998248,0.02058591551696685,0.015896181913687867,0.029609521995737763,0.02013068063048577,0.02099424382911368,0.018920062765909882,0.03358635262059256,0.0259349539559789,0.04830855571404614,0.02004730633031539,0.032843627362153266,0.01760446206504226
COL3A1_DDR2	21	Bcell--Tcell,Bcell--endothelial,Bcell--stroma,Tcell--endothelial,Tcell--stroma,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Tcell,endothelial--endothelial,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01730064283124268,0.02786739898942979,0.02898465654519359,0.023059629274560508,0.02398413410724644,0.01537353623554035,0.02153424970685067,0.022397599142576958,0.016441212821229758,0.02648305279916749,0.02754480925698348,0.01944715561205812,0.01675489658491423,0.03132494265889803,0.03258081978194051,0.01867752497563339,0.0317284419687717,0.02733596493965431,0.05110730047903199,0.023981204936836968,0.053156290326866286
COL3A1_MAG	24	Bcell--Bcell,Bcell--basal_like_1,Bcell--basal_like_2,Bcell--luminal_ar,Tcell--basal_like_1,Tcell--luminal_ar,basal_like_2--basal_like_1,basal_like_2--luminal_ar,endothelial--Bcell,endothelial--basal_like_1,endothelial--luminal_ar,macrophage--Bcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01583274394100428,0.01961669708097198,0.015464838507536459,0.025935501645230133,0.016232363933575092,0.0214610288249581,0.01515860355412175,0.02004139564344214,0.015046233554281741,0.018642214321390658,0.02464712475333813,0.0177971326377856,0.02205056566102559,0.01738358070882201,0.02915335235178377,0.015185469890768919,0.0290363949038588,0.03597596002783245,0.028361676264231164,0.02080086891791887,0.04756430537919845,0.02201580370938792,0.0183976478541341,0.02477541239496467
COL4A1_CD93	16	Bcell--endothelial,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--endothelial,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,stroma--endothelial,stroma--stroma	0.03546449105746526,0.03407496938300154,0.02584422573574367,0.029172923169926864,0.02576809236735619,0.0254358106368567,0.02837928602167059,0.1100928262396679,0.023308149217560033,0.04293116893174779,0.02238965506351984,0.04226691551859613,0.0164821646635042,0.02387899300445545,0.056917627070964164,0.02219527235733133
COL4A1_ITGA1	20	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,Tcell--stroma,basal_like_2--endothelial,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--endothelial,macrophage--stroma,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01949470755738899,0.016823746608455,0.01873089231908679,0.01616458134593213,0.01603625454177176,0.026156644691232533,0.03851060601061977,0.01706718973870629,0.03090986704858672,0.060517644204483426,0.03372147895342514,0.01691983436689923,0.05222614950440567,0.023233976657179467,0.020050700162413632,0.01990985594663119,0.015980299040144332,0.031287421911991714,0.01743389309648636,0.02700074657337771
COL4A1_ITGAV	20	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01635443636909695,0.015175417264060818,0.015713658984989682,0.02500323269021666,0.030989767984967737,0.02123636879063539,0.03223067056723685,0.05076926434706836,0.01923107596151075,0.039893670830618434,0.02317646806312581,0.04710922182020209,0.01949137178500038,0.01531600624961409,0.01808620567598659,0.01602160756000788,0.01666315009117365,0.02624754176519131,0.02062489588454941,0.024355311883159432
COL4A1_ITGB1	17	endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--endothelial,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--stroma	0.029147582937056462,0.03136001129853652,0.029400558761317638,0.02854048439192391,0.04120810939218465,0.03033958151495181,0.03412789564637555,0.028204085755509412,0.03731143135772619,0.01582064642948519,0.01506920398264436,0.016213022128667882,0.01519999164715505,0.0213044562738163,0.015685463305282418,0.01764400918265539,0.0192898866169515
COL4A1_ITGB8	18	Bcell--mesenchymal,Tcell--mesenchymal,basal_like_2--mesenchymal,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--basal_like_1,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01917471675872838,0.01842343896667481,0.01577303161917904,0.033864788211501885,0.028330220869284082,0.03359721312471831,0.02135149011000549,0.02422638993190349,0.03592386534105653,0.059524293099059364,0.039859224213945034,0.02285260859999233,0.015302781480239318,0.01750798350896493,0.0173696480740123,0.01857251957524056,0.0307738626756617,0.02060708709764985
COL4A2_CD93	17	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--endothelial,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,stroma--endothelial,stroma--stroma	0.04402697865273035,0.0171685088180049,0.03410600814882924,0.024686008211439733,0.03770107399189083,0.02311599686957788,0.022817914134832067,0.02545844207190337,0.09876188700499657,0.02090923521491754,0.03851262066612273,0.02078096192478551,0.04285331953109642,0.01671083541874578,0.02375551004352953,0.05343087873404265,0.02083559991555935
COL5A1_SDC3	21	Bcell--Tcell,Bcell--macrophage,Bcell--stroma,Tcell--macrophage,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.0178894578109184,0.02500439193003394,0.01750260159540167,0.02001049193882811,0.01822586963983034,0.01567219795357417,0.02082670333639351,0.02910982872359027,0.02037632972979434,0.0189241965034432,0.02645066336467015,0.01851496425513275,0.02493800698576051,0.0331399893513274,0.018808008190267282,0.01750185092132226,0.01818300055785337,0.01933088805461421,0.04632031283765334,0.01810125094060335,0.03242334321267836
COL8A1_ITGA1	21	Bcell--Tcell,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,Tcell--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--endothelial,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01739009843633234,0.02732773900158024,0.015227489233928441,0.023583578003986017,0.02161472645020601,0.0186533026842717,0.02238415112720505,0.0193173088388661,0.02113573716395771,0.01696423124402793,0.03321383780185507,0.01850732537792269,0.02866322510495631,0.02316958597206009,0.01999513161555526,0.02154069278447216,0.03171450860043465,0.02545509785227393,0.04983789003662697,0.02777053505709209,0.043009623561060216
COMP_CD47	23	Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--macrophage,Bcell--mesenchymal,basal_like_2--luminal_ar,basal_like_2--mesenchymal,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01658097148722006,0.015600635523083531,0.01703857488771029,0.015666030958200333,0.01761786370650889,0.015085483585948219,0.01559836990567281,0.01984288540926019,0.01664691280268162,0.01866969153374264,0.017078571339098268,0.02039051145432118,0.01874795197380862,0.02108376164530944,0.026129077412527308,0.02192062617555966,0.02458421773304766,0.018997966914259732,0.022489033394630008,0.02685019044772314,0.02468727094605811,0.0277630611080621,0.019431306758904383
COMP_ITGA5	21	Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--stroma,endothelial--endothelial,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--endothelial,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.017281785595484118,0.03865228463253458,0.02059653214366124,0.025710763948191242,0.020274203915340967,0.01530081562892884,0.03422166520534962,0.018235600666624233,0.027318327357837208,0.01722111154462639,0.02068156811577077,0.04625620732540574,0.01546924903066099,0.02464841263793375,0.01915051862403592,0.016331211401882092,0.02267673009235439,0.02723345335942141,0.0609100943278844,0.020369880544045017,0.03245698741030522
CTHRC1_FZD3	20	Bcell--endothelial,Tcell--endothelial,basal_like_2--endothelial,endothelial--endothelial,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01791725096568466,0.01788674494487916,0.01710726616428906,0.01629770571053247,0.020762304651147933,0.02085653251106711,0.01938349472433799,0.01848567480471772,0.02662083833635116,0.02041586950650227,0.01587002528570054,0.0234935267098832,0.02360014997647245,0.02193333826319405,0.02091741268958015,0.03012273381991676,0.023101519008391108,0.01559246768071614,0.01795768192407837,0.016903830976682133
CTHRC1_FZD6	22	Bcell--basal_like_1,Bcell--endothelial,Tcell--basal_like_1,Tcell--endothelial,basal_like_2--basal_like_1,basal_like_2--endothelial,endothelial--basal_like_1,endothelial--endothelial,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--mesenchymal,macrophage--stroma,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.016898035109595068,0.01962029667270401,0.01686926441192428,0.019586891035887642,0.01613412597875602,0.018733322318535518,0.0153706170567055,0.01784681264650971,0.025106522296085218,0.01938631527888231,0.02915116536770257,0.020618240378320017,0.01922460553760663,0.01930697537672265,0.01571254723370924,0.02840921381638355,0.0219365298536575,0.032985918167445685,0.02333051119217019,0.016709904120338518,0.02175354765636571,0.02184675301327941
CTHRC1_ROR2	21	Bcell--Tcell,Bcell--stroma,Tcell--Tcell,Tcell--stroma,basal_like_2--Tcell,basal_like_2--stroma,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01632560128086805,0.01713150751991608,0.01629780521252642,0.017102339310695092,0.01558757015452655,0.01635704380655389,0.01558298583148172,0.02425601970269152,0.01949498847058557,0.021327337759301183,0.019378057106585182,0.021615340983929518,0.0154376870860743,0.02545340761365192,0.02744683002853104,0.0220594986942957,0.02413288831455134,0.021927185342308808,0.02445877754332559,0.01746847086532145,0.028801730909762638
CXCL10_CXCR3	23	Bcell--Tcell,Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Tcell,luminal_ar--Tcell,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,stroma--Tcell,stroma--macrophage	0.028895548783903283,0.01862957163907647,0.01879348647845822,0.049063332534610336,0.01874099392484531,0.02196718468145545,0.031632168509446286,0.0215892120894411,0.02988884362532846,0.01926996983830928,0.023463250680944518,0.015127254121913918,0.0174991379463816,0.01641195504958896,0.02219594649378679,0.05794598596664539,0.02213395044464232,0.025944225749043568,0.037359003105831214,0.02549782324474589,0.02129896423386909,0.02627598680301472,0.01694068460838093
CXCL10_SDC4	23	Bcell--basal_like_1,Bcell--luminal_ar,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--basal_like_1,basal_like_1--luminal_ar,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--luminal_ar	0.015381916714934591,0.016609277875678133,0.01672714165658882,0.01515252632687954,0.02611779760434687,0.02197522431542443,0.015691122929743,0.028201801241722713,0.017463775274887367,0.02362180900874363,0.01626616096542092,0.015910675612661,0.017180227753013533,0.01975550101516322,0.0178958100181476,0.030846284899085637,0.0259537209156594,0.0185319166496976,0.033307586227132036,0.0206254982025409,0.027898410943893042,0.019211062240188717,0.015103543093531431
CXCL11_ACKR3	22	Bcell--basal_like_1,Bcell--endothelial,Bcell--luminal_ar,Bcell--stroma,Tcell--basal_like_1,Tcell--endothelial,Tcell--luminal_ar,Tcell--mesenchymal,Tcell--stroma,basal_like_1--luminal_ar,basal_like_2--luminal_ar,macrophage--Bcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--luminal_ar,stroma--endothelial,stroma--luminal_ar	0.01575606582127588,0.01693124416111199,0.02669452163436371,0.01568109435251477,0.01616446477358278,0.01737010386473885,0.02738644655975256,0.01537089771442805,0.016087550036137592,0.02179855944079695,0.017767973649788292,0.01599027538542375,0.0207305216764202,0.01688775937467156,0.02227672364866224,0.03512243257041898,0.015084633483445159,0.019712791776177192,0.02063188044986691,0.01707495188821864,0.01526710583028585,0.02407077016919704
CXCL12_ACKR3	28	Bcell--luminal_ar,Tcell--basal_like_1,Tcell--endothelial,Tcell--luminal_ar,Tcell--mesenchymal,Tcell--stroma,basal_like_2--luminal_ar,endothelial--Bcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--mesenchymal,endothelial--stroma,macrophage--basal_like_1,macrophage--endothelial,macrophage--luminal_ar,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01929841388830188,0.016791806291211242,0.01804423613404096,0.028449312246176268,0.01596744096126912,0.01671190649927815,0.02127057576486512,0.015467833628217482,0.02005320437503685,0.0163359946007501,0.02154888811317078,0.0339748960241644,0.0190687262221608,0.01995778600077918,0.01770638739758287,0.01902703197868691,0.02999883008948525,0.01683712225505134,0.017622135790315692,0.01964592751660165,0.01678243297103221,0.02546987568503953,0.020748591790673232,0.02736956603686324,0.04315202508107988,0.01853324029055878,0.02421947521539667,0.025348683376570518
CXCL12_CD4	24	Bcell--Tcell,Bcell--macrophage,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.02126815366243823,0.02275160646896194,0.03135306082377756,0.01727025772934073,0.03353993547262328,0.01726163547766649,0.02344160906041655,0.02507666028780739,0.015942952650423867,0.03744262681324802,0.015947596400856818,0.02062458331461899,0.040054248428895364,0.020614286401231717,0.033060733992408366,0.01821089813142127,0.03536671877158499,0.018201806260913958,0.02024938331373392,0.04755644197402753,0.02025528141081744,0.026195592647178658,0.050873501763718985,0.026182514383026517
CXCL12_CXCR4	20	Bcell--Tcell,Bcell--macrophage,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	0.029068583642333962,0.019122412180954982,0.042852289176787815,0.015078507737662018,0.02818985426392171,0.03203918800375515,0.02107658792355671,0.051175299303570065,0.0180071394399167,0.0336650446684107,0.01730647749274101,0.04518627834782635,0.01589977246939979,0.02972524049063435,0.015281108656903,0.01751219424552791,0.06499851530108511,0.02287113791892463,0.04275847822620855,0.0219812166695298
CXCL12_ITGA5	23	Bcell--endothelial,Bcell--stroma,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.028317350616440088,0.01508938547202736,0.015541535778442769,0.01866449386804236,0.04174483739100922,0.02224445186953112,0.031211184257601138,0.016631414311337217,0.01856009936406787,0.02228961575672617,0.04985275206769936,0.016672024819801342,0.026564893127897192,0.016388019756429232,0.01968107261815784,0.04401850818641112,0.0234560163104641,0.01697701419831499,0.02357346061327024,0.02831037532823582,0.06331872821792188,0.02117538881251507,0.03374046924870375
CXCL12_ITGAV	29	Bcell--endothelial,Bcell--stroma,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.017345440491778732,0.016094978215761842,0.01560820437730378,0.01623319328092434,0.025570280306673618,0.02009271473046245,0.023726875353894932,0.01911802225254292,0.01502263419579029,0.01773977154566769,0.01503893718688429,0.018639716709288004,0.01938609443656044,0.0305366824762078,0.02399523362475693,0.028335241152806268,0.016458319521577468,0.01711734901815332,0.02696298903898852,0.021187082837710917,0.02501918134739991,0.01910117971279874,0.023674583797735183,0.01622349004798556,0.024622569345190918,0.038785098478861364,0.030476706167560638,0.01770562579113727,0.03598901483126512
CXCL12_ITGB1	32	Tcell--Tcell,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--stroma,basal_like_2--endothelial,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01579467990401036,0.020754740522984882,0.015280733603328031,0.01718874340957671,0.01879215251058414,0.015517608192219182,0.01753167977800769,0.01886241055074489,0.01768383960381905,0.017166522320185458,0.024785841751647168,0.01824864273883467,0.02052723682994834,0.016964185365381582,0.02244206897139134,0.015479955625755359,0.01665495160860692,0.01561430825946803,0.01515753237167605,0.02188516647125839,0.0161130127520231,0.0181249440595864,0.01981568430556619,0.02226724947019629,0.0239574305862909,0.02246050994743438,0.02180345750546795,0.03148086940904953,0.02317787488155315,0.02607195141675148,0.021546466304013908,0.02850400844305812
CXCL14_CXCR4	18	Bcell--Tcell,Bcell--macrophage,Tcell--Tcell,Tcell--macrophage,basal_like_1--Tcell,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Tcell,endothelial--macrophage,macrophage--Tcell,macrophage--macrophage,mesenchymal--Tcell,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	0.031071493012858314,0.02044000161068162,0.03174043160932117,0.020880054683879268,0.04357155186739939,0.01533159592161073,0.02866301242688863,0.03899410791793501,0.025651796916223032,0.03953470247578778,0.0260074204335308,0.03490690536130682,0.0229630807091811,0.015080804627917218,0.04736842925685997,0.01666760961412887,0.031160741773979168,0.01601906908130486
CXCL8_SDC1	13	macrophage--Bcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma	0.01757250050300603,0.0191255819370798,0.015377328165294982,0.015695384024751482,0.06670880141308529,0.0427585627726579,0.07260461578203374,0.05837547881515369,0.04498918147880347,0.045310390420960515,0.049028708736793936,0.05216841449826352,0.059582883826359824
CXCL9_CXCR3	20	Bcell--Tcell,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Tcell,luminal_ar--Tcell,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Tcell	0.020357086660617668,0.03066346524441865,0.08005176653490223,0.030577818358453912,0.03584167337814771,0.05161106752633657,0.035224973041472034,0.024608363239313442,0.01586553241524136,0.02518481646882816,0.0162371840082301,0.022511076600866417,0.01604094895437307,0.01915934838321091,0.05001847219510936,0.01910583393162967,0.02239483050645039,0.03224796725629349,0.02200949973889915,0.01974836567367889
